;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;a40
o1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;1;0;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;1;1;0;0
o2;1;1;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;0;0;0;1;1;0;0;1;1;1;1;0;1;0;1
o3;0;1;0;1;0;1;0;1;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0
o4;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;1;1;1;0;0;1
o5;1;0;1;1;1;1;0;1;0;1;1;1;0;0;1;1;1;1;0;1;1;0;0;1;1;1;0;1;0;1;0;0;1;1;1;1;1;0;0;1
o6;1;1;1;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;1;1;0
o7;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0
o8;1;1;0;0;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;1;0;1;0;1;1;0;1;1;0;1
o9;0;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;1;0;0;1;0;1
o10;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1;0;1
o11;1;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;1;0;1
o12;1;0;1;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0
o13;0;1;0;0;0;1;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;1;1;1
o14;1;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;1;0;1;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1
o15;1;1;1;0;1;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0
o16;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;1;1;1;0;1;0;1;0;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0
o17;1;0;1;0;0;0;1;1;0;0;1;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1
o18;0;0;0;1;0;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1
