;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31
o1;1;0;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;1
o2;1;0;0;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;1;0;1;0;1;0;0;0
o3;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;1
o4;0;0;1;1;1;0;0;1;0;0;0;0;1;1;1;1;0;1;0;1;0;0;0;0;1;0;1;1;0;1;0
o5;0;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;1
o6;0;0;0;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1
o7;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1
o8;0;1;0;1;0;0;1;1;0;0;1;0;0;1;0;0;1;1;0;0;1;1;1;1;1;0;0;1;0;0;0
o9;1;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0
o10;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;1;0;1;0;0;1;0;0;0
o11;1;0;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1
o12;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0
o13;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;0;1
o14;0;1;1;0;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1
o15;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;1;1;1;1;1;0;0
o16;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1
o17;0;1;1;1;0;1;0;1;1;0;1;1;0;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;1;0;0
o18;0;0;0;1;1;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;1;0
o19;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0
o20;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;1;1
o21;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;1;0;0;1;1;1;1;0
o22;1;0;1;1;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1
o23;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;0
o24;1;0;0;0;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;1
o25;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;1
o26;1;0;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;1;0;1;0;1;1;1;0;1;0;1;0;1
o27;0;0;1;0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;1
o28;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1
o29;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;0
