;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31
o1;1;1;0;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1
o2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;1;1;0;0;1
o3;1;1;1;1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;1;0;0;0;1
o4;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0
o5;1;1;0;0;0;1;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;0;1;1;0;1;0
o6;1;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1
o7;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1
o8;1;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1
o9;1;1;0;1;0;1;1;0;0;1;1;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;0
o10;1;1;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0
o11;0;1;1;0;0;1;1;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0
o12;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0
o13;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0
o14;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;1;1;1;0;1;0;0;1;1;0
o15;1;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1
o16;0;1;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1
o17;1;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;1;1;1;1
o18;0;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1
o19;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0
o20;1;1;1;1;0;1;0;1;1;1;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0
o21;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0
o22;1;1;1;1;0;0;0;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0;1;0;0;0;1;0
o23;1;1;0;1;0;0;1;0;1;1;0;0;1;1;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;0
o24;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0
o25;0;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;1;1;0;1;1;1
o26;0;1;0;1;0;0;0;1;0;1;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;0;1;1;0;1;0
o27;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;1;0;1;1;0;1
o28;0;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;1
o29;1;1;0;0;1;0;1;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;0
o30;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;1;0;1;0;1;1;1;1;0
o31;0;1;0;0;1;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;0;0;0;1;0
