;a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20
o1;0;0;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;0;1;0
o2;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;0;0
o3;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;0
o4;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1
o5;0;0;0;0;0;1;1;0;1;1;0;0;1;1;1;0;0;0;1;0
o6;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;1;1;1;1
o7;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0
o8;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1
o9;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0
o10;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;1;0
o11;0;1;1;1;1;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1
o12;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;1;0;0;1
o13;0;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0
o14;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;1;0;1;1;0
o15;1;0;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1
o16;1;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;0
o17;1;0;1;1;0;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0
o18;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1
o19;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;0
o20;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0
o21;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0
o22;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0
o23;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0
o24;1;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;1;0;1;1
o25;1;1;0;1;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;0
o26;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;1
o27;0;0;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0
o28;0;1;1;1;0;1;0;1;0;0;1;0;1;0;1;1;1;1;0;0
o29;0;1;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;1;1
o30;0;1;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;1;0;0
o31;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;1;0;1;1
o32;0;1;1;1;1;0;0;0;1;1;0;1;0;1;0;1;1;1;0;0
o33;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
o34;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1
o35;1;1;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0
o36;1;1;0;1;1;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0
o37;1;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;1;0;0;1
o38;1;1;1;1;0;0;0;1;0;0;1;1;1;0;1;1;1;0;0;0
o39;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0
o40;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0
o41;1;0;1;1;1;0;1;0;0;1;1;1;1;0;0;0;1;0;1;1
o42;1;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1
o43;0;0;1;1;0;1;1;1;1;0;0;1;1;0;1;0;0;0;1;1
o44;1;0;0;1;1;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0
o45;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;1;1;1;0;1
o46;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0
o47;0;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1
o48;1;0;0;1;1;0;1;1;1;0;0;1;0;1;0;1;0;1;0;1
o49;0;0;1;1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;0;0
o50;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;1;0;0;0
o51;0;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0
o52;0;1;0;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;0;1
o53;0;1;0;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;0;1
o54;0;0;0;1;0;0;0;1;0;1;0;1;1;1;1;1;0;0;1;0
o55;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0
o56;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1
o57;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0
o58;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;1;1;0;1;0
o59;0;1;1;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0
o60;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
o61;0;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;0
o62;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;1;1;0;0;1
o63;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;1;0;0;1;1
o64;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0
o65;0;1;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0
o66;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1
o67;0;1;0;1;0;0;1;1;0;1;0;0;0;1;1;0;0;0;1;0
o68;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1
o69;0;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1
o70;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;0;0;1
o71;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;1;0;0;0;0
o72;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;1;0
o73;0;0;1;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0
o74;1;1;1;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;1;1
o75;0;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;1;1;1;1
o76;0;0;1;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0
o77;1;1;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1;0
o78;0;0;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;0;0;1
o79;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;0;0;1;1;1
o80;1;0;1;0;0;0;1;1;1;1;1;0;1;0;0;0;1;0;0;1
o81;0;0;0;1;1;0;0;0;1;1;1;0;1;1;0;1;1;1;0;1
o82;1;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;1;1;0;1
o83;1;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0
o84;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;1;1;0;0
o85;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1
o86;0;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;0;1
o87;0;0;0;1;1;1;1;0;0;1;1;0;1;1;0;1;0;1;1;0
o88;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;1;1;1;1
o89;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0
o90;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;0;1;0;1;0
o91;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;1;0
o92;1;1;1;1;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0
o93;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;1;0
o94;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;0
o95;0;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1
o96;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1
o97;0;1;1;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;1;1
o98;1;0;0;1;1;1;0;1;1;1;1;0;0;1;0;1;1;0;0;1
o99;0;1;1;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0
o100;1;1;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0
o101;0;1;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;1
o102;1;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0
o103;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;1;0;1;0;0
o104;1;1;0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;0
o105;0;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1
o106;1;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;0;1
o107;1;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;1;0;1
o108;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;1;1
o109;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0
o110;0;1;1;1;0;0;1;0;1;1;0;0;1;0;1;1;1;0;1;1
o111;1;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;1
o112;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;0;1
o113;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;1;0;1;1;0
o114;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1
o115;0;1;0;1;1;0;0;1;1;1;1;0;1;0;1;0;1;0;0;1
o116;0;1;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1
o117;0;1;0;1;0;1;1;0;0;0;1;0;1;1;1;0;1;1;1;0
o118;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0
o119;0;0;1;1;1;0;1;1;1;0;0;0;0;1;0;1;0;1;1;1
o120;0;1;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1
o121;1;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1
o122;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;0;1
o123;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
o124;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0
o125;1;0;0;1;1;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0
o126;0;0;1;1;0;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0
o127;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1
o128;0;1;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1
o129;0;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;1
